,level_0,index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
55,55,55,SY17488,Arizona,,College,716439.0,46623,91,1/0/00,Corporate Auto,Four-Door Car,436
56,56,56,AP67935,California,,College,761951.0,64749,64,1/0/00,Special Auto,Four-Door Car,302
57,57,57,FS37417,Arizona,,High School or Below,395800.0,0,101,1/0/00,Personal Auto,SUV,484
58,58,58,ML29312,Oregon,,High School or Below,449949.0,16969,124,1/2/00,Personal Auto,SUV,704
59,59,59,UB61619,Oregon,,Master,405956.0,11621,108,1/0/00,Personal Auto,Four-Door Car,518
60,60,60,CD86811,Arizona,,Bachelor,445811.0,17622,65,1/1/00,Personal Auto,Four-Door Car,312
61,61,61,RU83859,California,,Bachelor,811033.0,11489,105,1/0/00,Personal Auto,Two-Door Car,504
62,62,62,FG63582,Oregon,,Bachelor,333976.0,0,94,1/0/00,Personal Auto,Two-Door Car,863
63,63,63,NN71951,California,,High School or Below,2426101.0,66525,100,1/0/00,Personal Auto,SUV,104
64,64,64,WB37082,Arizona,,Bachelor,661397.0,0,63,1/0/00,Personal Auto,Four-Door Car,676
65,65,65,SM52139,Washington,,College,293069.0,33663,73,1/0/00,Personal Auto,Four-Door Car,350
66,66,66,FL82372,Oregon,,College,867219.0,22547,112,1/0/00,Corporate Auto,SUV,537
67,67,67,DP45816,Arizona,,High School or Below,1163866.0,61486,97,1/0/00,Personal Auto,Two-Door Car,465
68,68,68,GW33762,Oregon,,Bachelor,684615.0,0,95,1/0/00,Personal Auto,Two-Door Car,456
69,69,69,RZ33670,California,,College,1172777.0,29879,102,1/0/00,Personal Auto,Four-Door Car,500
70,70,70,PY70169,Oregon,,High School or Below,2264383.0,93011,113,1/0/00,Personal Auto,SUV,281
71,71,71,MO91628,Oregon,,Master,261447.0,65186,65,1/0/00,Personal Auto,Two-Door Car,5
72,72,72,HW87852,Oregon,,Master,245175.0,26840,64,1/2/00,Personal Auto,Four-Door Car,307
73,73,73,HB20453,Oregon,,Bachelor,678127.0,0,104,1/1/00,Personal Auto,Luxury,982
74,74,74,BN87372,Oregon,,Bachelor,497480.0,75644,65,1/3/00,Personal Auto,Two-Door Car,467
75,75,75,YX23800,Oregon,,Bachelor,859160.0,38984,73,1/0/00,Personal Auto,Four-Door Car,350
76,76,76,DZ87709,Oregon,,High School or Below,559216.0,71811,71,1/0/00,Personal Auto,Four-Door Car,29
77,77,77,XW13033,Nevada,,College,800947.0,20961,67,1/0/00,Personal Auto,Four-Door Car,321
78,78,78,SP81997,Washington,F,Master,,41275,96,1/0/00,Personal Auto,Four-Door Car,41
79,79,79,OM82309,California,,Bachelor,5816655.0,61321,186,1/1/00,Personal Auto,Luxury,427
80,80,80,ZU35962,California,,College,802522.0,0,77,1/0/00,Personal Auto,Two-Door Car,25
81,81,81,VH85817,California,,High School or Below,578018.0,51066,74,1/0/00,Personal Auto,Four-Door Car,787
82,82,82,DT85712,California,,Doctor,411853.0,34378,102,1/0/00,Personal Auto,SUV,489
83,83,83,YJ88573,Nevada,,Master,252307.0,43072,63,1/0/00,Personal Auto,Four-Door Car,302
84,84,84,SQ19467,Oregon,,College,655421.0,25222,90,1/0/00,Personal Auto,Four-Door Car,475
85,85,85,YB66933,Washington,F,Bachelor,538275.0,77552,68,1/1/00,Corporate Auto,Four-Door Car,45
86,86,86,ET79815,California,,College,592672.0,23091,96,1/5/00,Personal Auto,Four-Door Car,460
87,87,87,QC35222,California,,Bachelor,268347.0,48269,69,1/3/00,Corporate Auto,Four-Door Car,282
88,88,88,CJ15590,Oregon,,Bachelor,269518.0,32720,67,1/0/00,Personal Auto,Four-Door Car,321
89,89,89,OI48267,California,,College,604702.0,20396,76,1/1/00,Personal Auto,Four-Door Car,364
90,90,90,JY67916,Oregon,,College,1317101.0,21513,119,1/1/00,Personal Auto,Two-Door Car,679
91,91,91,OW15518,Washington,F,College,1595001.0,0,87,1/1/00,Personal Auto,Two-Door Car,46
92,92,92,CZ33664,Oregon,,Bachelor,252765.0,80744,63,1/0/00,Corporate Auto,Four-Door Car,11
93,93,93,WK30175,Oregon,,Bachelor,267209.0,52822,67,1/0/00,Corporate Auto,Two-Door Car,350
94,94,94,ON44465,California,,High School or Below,531329.0,0,77,1/1/00,Personal Auto,Four-Door Car,863
95,95,95,TV87155,Oregon,,Bachelor,2094619.0,69738,74,1/1/00,Personal Auto,Four-Door Car,492
96,96,96,KH48895,Arizona,,Master,837535.0,17780,109,1/0/00,Personal Auto,SUV,132
97,97,97,NZ30757,California,,Bachelor,480166.0,18107,62,1/0/00,Personal Auto,Four-Door Car,297
98,98,98,RI22468,Arizona,,Bachelor,574594.0,57740,74,1/3/00,Personal Auto,Four-Door Car,269
99,99,99,FZ30935,Oregon,,College,606611.0,32627,76,1/0/00,Personal Auto,Two-Door Car,380
100,100,100,UG93476,California,,College,800230.0,0,107,1/0/00,Personal Auto,SUV,513
101,101,101,AB96670,California,,College,239391.0,0,70,1/0/00,Personal Auto,Four-Door Car,425
102,102,102,XK64261,Oregon,,Bachelor,476281.0,65795,62,1/1/00,Corporate Auto,Two-Door Car,49
103,103,103,EV68375,California,,College,433038.0,60475,107,1/0/00,Personal Auto,Four-Door Car,513
104,104,104,UN51653,California,,High School or Below,940272.0,0,130,1/0/00,Personal Auto,SUV,936
105,105,105,TO96662,Oregon,,Bachelor,696669.0,41837,88,1/0/00,Personal Auto,Four-Door Car,142
106,106,106,MR52087,California,,Bachelor,769406.0,32303,65,1/0/00,Personal Auto,Four-Door Car,45
107,107,107,DE75225,Oregon,,High School or Below,871756.0,0,117,1/1/00,Personal Auto,SUV,561
108,108,108,EP80820,California,,Bachelor,592874.0,40531,74,1/0/00,Personal Auto,Two-Door Car,30
109,109,109,GU99037,Oregon,,College,245297.0,79898,62,1/1/00,Corporate Auto,Four-Door Car,271
110,110,110,WI57118,California,,College,670157.0,56398,85,1/0/00,Personal Auto,Four-Door Car,408
111,111,111,GP39118,Washington,M,High School or Below,499655.0,71600,63,1/0/00,Personal Auto,Two-Door Car,46
112,112,112,MQ14219,Arizona,,College,849269.0,27804,109,1/0/00,Personal Auto,SUV,784
113,113,113,KN20603,Oregon,,Bachelor,771349.0,45506,66,1/2/00,Personal Auto,Four-Door Car,316
114,114,114,SG20925,Washington,F,Master,518579.0,99428,6464,1/1/00,Personal Auto,Four-Door Car,48
115,115,115,JI70886,California,,High School or Below,729006.0,0,102,1/1/00,Corporate Auto,SUV,489
116,116,116,VF72557,Oregon,,High School or Below,477294.0,20993,133,1/0/00,Personal Auto,SUV,638
117,117,117,OX28638,Arizona,,High School or Below,680649.0,37839,86,1/0/00,Personal Auto,Two-Door Car,465
118,118,118,SK55033,California,,Bachelor,246978.0,92711,62,1/0/00,Personal Auto,Two-Door Car,368
119,119,119,OO88645,California,,College,310392.0,74665,78,1/2/00,Corporate Auto,Four-Door Car,236
120,120,120,FM14335,Washington,F,College,1048491.0,61108,89,1/0/00,Personal Auto,Four-Door Car,49
121,121,121,CW82151,California,,Bachelor,890273.0,46833,112,1/0/00,Personal Auto,Luxury,64
122,122,122,DY22043,Oregon,,High School or Below,549944.0,88768,68,1/0/00,Personal Auto,Two-Door Car,326
123,123,123,SH36774,California,,High School or Below,1502359.0,28262,192,1/0/00,Personal Auto,Luxury,921
124,124,124,EM43724,Nevada,,Bachelor,250910.0,33555,63,1/0/00,Personal Auto,Four-Door Car,101
125,125,125,FH85960,Oregon,,College,3122174.0,42780,113,1/1/00,Personal Auto,Four-Door Car,542
126,126,126,XA55993,Oregon,,Master,313350.0,58850,78,1/0/00,Personal Auto,Four-Door Car,143
127,127,127,GO36627,Arizona,,College,383745.0,21880,97,1/0/00,Special Auto,Four-Door Car,424
128,128,128,QH48047,Oregon,,College,1179049.0,25251,66,1/0/00,Personal Auto,Four-Door Car,316
129,129,129,HS28694,Washington,F,High School or Below,282986.0,25317,71,1/0/00,Personal Auto,Two-Door Car,50
130,130,130,UH65059,Arizona,,High School or Below,430580.0,24188,109,1/0/00,Personal Auto,Luxury,523
131,131,131,FV21968,Nevada,,Bachelor,597397.0,41611,74,1/0/00,Special Auto,Four-Door Car,113
132,132,132,QA87025,Oregon,,Bachelor,567044.0,28406,72,1/1/00,Personal Auto,Four-Door Car,192
133,133,133,TQ13499,Arizona,,College,473174.0,69833,118,1/0/00,Personal Auto,Four-Door Car,828
134,134,134,BU44523,Arizona,,High School or Below,802637.0,0,74,1/0/00,Corporate Auto,Four-Door Car,532
135,135,135,MS41162,Arizona,,High School or Below,402296.0,0,117,1/0/00,Personal Auto,SUV,975
136,136,136,PU25891,Oregon,,High School or Below,961831.0,80536,119,1/0/00,Special Auto,Luxury,53
137,137,137,LH92841,Washington,F,Bachelor,725595.0,88891,89,1/0/00,Personal Auto,Four-Door Car,50
138,138,138,SX26335,Oregon,,College,955292.0,97732,79,1/0/00,Personal Auto,Four-Door Car,289
139,139,139,AZ95587,Arizona,F,Bachelor,1038855.0,61222,89,1/0/00,Special Auto,Four-Door Car,392
140,140,140,DS81757,Oregon,M,College,247012.0,0,74,1/0/00,Personal Auto,Two-Door Car,721
141,141,141,OJ94107,Arizona,M,Master,561906.0,50335,140,1/0/00,Personal Auto,SUV,456
142,142,142,LP84436,California,F,High School or Below,904711.0,0,127,1/0/00,Personal Auto,Luxury,1087
143,143,143,FF22360,Washington,F,Doctor,268731.0,82210,68,1/4/00,Personal Auto,Four-Door Car,51
144,144,144,LM19287,Oregon,F,High School or Below,373150.0,0,96,1/0/00,Personal Auto,Four-Door Car,460
145,145,145,ZU18643,Nevada,M,Bachelor,366077.0,64495,92,1/0/00,Corporate Auto,Four-Door Car,251
146,146,146,AZ82578,California,F,College,792882.0,0,72,1/0/00,Corporate Auto,Four-Door Car,345
147,147,147,XC67861,Arizona,F,Bachelor,501175.0,28859,67,1/3/00,Corporate Auto,Two-Door Car,321
148,148,148,YC43143,Arizona,F,High School or Below,798825.0,77330,99,1/0/00,Personal Auto,Four-Door Car,99
149,149,149,EK59571,Oregon,M,College,388545.0,0,105,1/0/00,Corporate Auto,Four-Door Car,504
150,150,150,PA38372,Washington,F,High School or Below,935773.0,33060,117,1/0/00,Personal Auto,Four-Door Car,56
151,151,151,RO18530,Washington,M,Master,254068.0,42557,65,1/0/00,Personal Auto,Four-Door Car,57
152,152,152,PD27940,Arizona,M,High School or Below,488516.0,26372,126,1/0/00,Personal Auto,SUV,604
153,153,153,BS77946,Arizona,F,Bachelor,975330.0,17514,127,1/0/00,Personal Auto,SUV,8
154,154,154,YM50253,California,F,Bachelor,294615.0,89270,74,1/0/00,Personal Auto,Four-Door Car,316
155,155,155,NR15332,California,M,High School or Below,258111.0,29757,65,1/0/00,Personal Auto,Four-Door Car,312
156,156,156,RC62865,Oregon,M,College,351738.0,51814,92,1/0/00,Personal Auto,Four-Door Car,56
157,157,157,CC15295,Oregon,F,Bachelor,974335.0,24028,82,1/0/00,Personal Auto,Four-Door Car,393
158,158,158,KA61892,Arizona,M,College,387364.0,28142,105,1/0/00,Personal Auto,Luxury,701
159,159,159,OS94884,Arizona,F,Bachelor,764928.0,52705,64,1/1/00,Personal Auto,Two-Door Car,128
160,160,160,ND87334,California,M,High School or Below,228759.0,0,63,1/0/00,Corporate Auto,Two-Door Car,679
161,161,161,OY51402,Washington,F,High School or Below,825576.0,54040,103,1/0/00,Personal Auto,SUV,59
162,162,162,YL74911,California,F,College,871492.0,0,118,1/0/00,Personal Auto,SUV,566
163,163,163,GK92563,Washington,F,Doctor,681923.0,22492,85,1/0/00,Personal Auto,Two-Door Car,61
164,164,164,HL53154,California,M,Bachelor,741619.0,0,77,1/2/00,Personal Auto,Four-Door Car,554
165,165,165,RI78966,Oregon,M,Master,777115.0,21876,68,1/0/00,Personal Auto,Four-Door Car,465
166,166,166,IC13702,California,F,Bachelor,696834.0,0,69,1/1/00,Personal Auto,Four-Door Car,496
167,167,167,BE10809,California,F,High School or Below,425028.0,0,61,1/1/00,Personal Auto,Four-Door Car,292
168,168,168,HT87217,Oregon,F,High School or Below,1977656.0,70699,82,1/0/00,Personal Auto,Four-Door Car,256
169,169,169,TH95618,California,F,High School or Below,2134346.0,0,74,1/1/00,Personal Auto,Four-Door Car,355
170,170,170,TS19868,California,M,College,241313.0,27501,63,1/0/00,Personal Auto,Four-Door Car,542
171,171,171,LP45550,Oregon,F,Doctor,1536384.0,15897,101,1/0/00,Personal Auto,Four-Door Car,303
172,172,172,QR87004,Nevada,F,College,845696.0,25141,73,1/1/00,Personal Auto,Four-Door Car,25
173,173,173,OE75747,Nevada,F,College,218964.0,0,61,1/3/00,Personal Auto,Four-Door Car,292
174,174,174,DX91392,California,M,High School or Below,578018.0,51066,74,1/0/00,Personal Auto,Four-Door Car,787
175,175,175,AB72731,California,F,Bachelor,463998.0,28358,117,1/0/00,Personal Auto,Luxury,84
176,176,176,GX84338,Washington,F,Doctor,382443.0,62530,95,1/0/00,Personal Auto,Four-Door Car,61
177,177,177,IS12901,Arizona,F,Bachelor,596811.0,90972,74,1/0/00,Personal Auto,Two-Door Car,232
178,178,178,BN90616,Washington,F,Bachelor,859033.0,63110,72,1/0/00,Personal Auto,Four-Door Car,68
179,179,179,HH90090,California,F,Bachelor,407663.0,29549,104,1/0/00,Personal Auto,Luxury,710
180,180,180,IU25463,California,F,Bachelor,1225260.0,0,115,1/1/00,Personal Auto,Four-Door Car,552
181,181,181,KC11055,Nevada,F,Bachelor,1693627.0,39411,217,1/2/00,Personal Auto,Luxury,1122
182,182,182,PD33979,Oregon,M,High School or Below,489243.0,21709,62,1/0/00,Personal Auto,Four-Door Car,408
183,183,183,NK71023,Nevada,M,Bachelor,994230.0,67890,85,1/0/00,Personal Auto,Four-Door Car,408
184,184,184,AB13432,California,M,Bachelor,373583.0,0,110,1/0/00,Personal Auto,SUV,792
185,185,185,OZ97704,California,F,High School or Below,1311752.0,84311,111,1/4/00,Personal Auto,SUV,532
186,186,186,UF46533,California,F,College,457452.0,99316,114,1/0/00,Corporate Auto,SUV,754
187,187,187,XP47431,Arizona,F,Bachelor,547006.0,54507,138,1/0/00,Personal Auto,SUV,702
188,188,188,GK73582,California,F,Bachelor,297884.0,64586,76,1/0/00,Personal Auto,Four-Door Car,206
189,189,189,RV98763,Oregon,M,College,641096.0,61709,82,1/2/00,Personal Auto,Four-Door Car,275
190,190,190,II62831,California,M,Master,447902.0,94656,111,1/1/00,Special Auto,SUV,459
191,191,191,XK33449,California,F,High School or Below,238373.0,0,69,1/0/00,Special Auto,Two-Door Car,496
192,192,192,TR85083,California,M,Bachelor,276449.0,61085,70,1/1/00,Personal Auto,Two-Door Car,336
193,193,193,EO95328,Oregon,F,Bachelor,792010.0,89284,67,1/3/00,Personal Auto,Two-Door Car,321
194,194,194,EN21086,Arizona,F,High School or Below,688909.0,0,63,1/0/00,Personal Auto,Four-Door Car,302
195,195,195,YL83902,Washington,F,Bachelor,327419.0,31686,81,1/0/00,Personal Auto,Four-Door Car,430
196,196,196,AZ62651,Oregon,M,High School or Below,995170.0,56855,255,1/0/00,Corporate Auto,Luxury,1836
197,197,197,ZW25874,Oregon,M,Bachelor,252155.0,53703,67,1/2/00,Special Auto,Four-Door Car,67
198,198,198,EH41854,Washington,F,High School or Below,2370611.0,0,96,1/1/00,Personal Auto,Two-Door Car,844
199,199,199,MW70227,California,M,College,604702.0,20396,76,1/1/00,Personal Auto,Four-Door Car,364
200,200,200,SL22297,California,F,Master,1114030.0,27679,150,1/0/00,Personal Auto,SUV,722
201,201,201,RV14138,Nevada,F,Bachelor,433406.0,23904,123,1/3/00,Personal Auto,SUV,590
202,202,202,UO62808,Arizona,F,High School or Below,279974.0,65351,69,1/0/00,Corporate Auto,Four-Door Car,481
203,203,203,ZX64745,California,M,College,792313.0,0,113,1/0/00,Personal Auto,SUV,1124
204,204,204,FL34139,California,M,High School or Below,368811.0,0,63,1/3/00,Personal Auto,Four-Door Car,669
205,205,205,TS11219,California,M,College,1206745.0,0,116,1/0/00,Personal Auto,SUV,1284
206,206,206,XX12304,California,F,College,292497.0,64459,72,1/0/00,Personal Auto,Four-Door Car,240
207,207,207,SD64087,California,M,College,1501409.0,32961,190,1/0/00,Corporate Auto,SUV,912
208,208,208,OY38576,Oregon,F,High School or Below,927723.0,71416,116,1/0/00,Corporate Auto,SUV,556
209,209,209,BG76355,Washington,F,Bachelor,627412.0,68964,78,1/0/00,Personal Auto,Four-Door Car,115
210,210,210,IP66913,California,M,High School or Below,388664.0,78108,98,1/0/00,Personal Auto,Two-Door Car,470
211,211,211,LE95702,California,M,College,438627.0,10621,67,1/0/00,Special Auto,Four-Door Car,321
212,212,212,KX54357,Washington,M,College,1136526.0,84910,95,1/0/00,Corporate Auto,Two-Door Car,383
213,213,213,EZ78112,California,F,High School or Below,561096.0,77493,70,1/0/00,Special Auto,Four-Door Car,307
214,214,214,XN16891,Arizona,M,College,291289.0,81097,74,1/0/00,Personal Auto,Four-Door Car,355
215,215,215,XK31350,Oregon,F,College,691572.0,96610,85,1/0/00,Corporate Auto,Four-Door Car,520
216,216,216,CC30924,Oregon,M,College,626266.0,30110,159,1/0/00,Corporate Auto,Luxury,466
217,217,217,IT78748,Oregon,F,High School or Below,650339.0,22081,84,1/0/00,Special Auto,Two-Door Car,451
218,218,218,KY33386,Washington,F,High School or Below,800739.0,0,112,1/0/00,Personal Auto,Luxury,537
219,219,219,CO44221,California,M,College,292991.0,98473,72,1/0/00,Personal Auto,Four-Door Car,345
220,220,220,LK60013,Oregon,F,Bachelor,596955.0,97431,74,1/0/00,Personal Auto,Four-Door Car,355
221,221,221,DE21533,California,M,Bachelor,547315.0,93870,69,1/0/00,Personal Auto,Four-Door Car,331
222,222,222,YS94121,Nevada,M,High School or Below,564539.0,50366,72,1/0/00,Personal Auto,Four-Door Car,428
223,223,223,UK68427,Washington,M,High School or Below,636926.0,34498,83,1/0/00,Personal Auto,Two-Door Car,398
224,224,224,TE49565,Oregon,F,College,1183376.0,16552,103,1/0/00,Personal Auto,SUV,494
225,225,225,RA88421,Oregon,F,College,612110.0,26787,77,1/0/00,Personal Auto,Four-Door Car,369
226,226,226,KQ51983,Nevada,M,College,515936.0,0,74,1/0/00,Personal Auto,Two-Door Car,831
227,227,227,CD88896,Nevada,F,High School or Below,251459.0,43860,65,1/0/00,Corporate Auto,Four-Door Car,156
228,228,228,YV22553,Arizona,M,High School or Below,866861.0,21474,114,1/2/00,Corporate Auto,SUV,373
229,229,229,WU14435,California,M,Bachelor,496096.0,18174,66,1/0/00,Corporate Auto,Four-Door Car,395
230,230,230,XV84099,Arizona,F,Bachelor,550413.0,0,73,1/0/00,Corporate Auto,Four-Door Car,350
231,231,231,RI24911,Arizona,M,College,750745.0,60920,64,1/0/00,Personal Auto,Two-Door Car,231
232,232,232,KO26461,Arizona,M,High School or Below,3226985.0,41520,90,1/0/00,Personal Auto,Four-Door Car,289
233,233,233,HI14283,Oregon,F,Bachelor,565703.0,0,152,1/0/00,Personal Auto,SUV,729
234,234,234,PT50227,Arizona,M,High School or Below,506175.0,0,68,1/0/00,Personal Auto,Two-Door Car,326
235,235,235,BH36570,California,M,Bachelor,591278.0,72208,73,1/0/00,Personal Auto,Two-Door Car,350
236,236,236,TX17484,California,F,Bachelor,1518227.0,53863,63,1/0/00,Personal Auto,Four-Door Car,105
237,237,237,CT41158,Washington,M,College,1074703.0,66446,136,1/0/00,Corporate Auto,SUV,639
238,238,238,AO87348,Washington,M,College,205062.0,0,61,1/0/00,Personal Auto,Four-Door Car,292
239,239,239,DE55857,Washington,F,Bachelor,246544.0,64997,63,1/1/00,Personal Auto,Four-Door Car,383
240,240,240,LF66923,Nevada,F,High School or Below,534312.0,64460,66,1/0/00,Corporate Auto,Two-Door Car,316
241,241,241,CN24514,Arizona,F,College,811982.0,46618,67,1/0/00,Personal Auto,Four-Door Car,99
242,242,242,UW32074,Oregon,F,College,460526.0,0,64,1/0/00,Corporate Auto,Four-Door Car,307
243,243,243,HP36979,California,M,College,640878.0,49988,84,1/5/00,Personal Auto,Two-Door Car,566
244,244,244,PP40919,California,F,College,237653.0,0,91,1/5/00,Personal Auto,Two-Door Car,436
245,245,245,RO73268,California,M,Bachelor,321107.0,16269,86,1/0/00,Corporate Auto,Two-Door Car,412
246,246,246,HO61691,Arizona,F,Bachelor,509452.0,72006,64,1/0/00,Personal Auto,Four-Door Car,307
247,247,247,BS13062,Arizona,F,High School or Below,2575527.0,0,81,1/2/00,Personal Auto,Four-Door Car,388
248,248,248,FO35655,Oregon,M,Bachelor,867222.0,0,245,1/0/00,Corporate Auto,Luxury,2345
249,249,249,HR10526,California,M,Master,804473.0,44320,67,1/0/00,Personal Auto,Four-Door Car,321
250,250,250,IA63417,Arizona,F,High School or Below,400151.0,19782,108,1/0/00,Personal Auto,Two-Door Car,773
251,251,251,BH35016,Nevada,F,Bachelor,1670611.0,63933,70,1/0/00,Personal Auto,Two-Door Car,424
252,252,252,PK52952,Arizona,M,Doctor,854441.0,28224,109,1/0/00,Personal Auto,SUV,523
253,253,253,OD76309,Washington,F,College,780531.0,21073,106,1/1/00,Personal Auto,SUV,508
254,254,254,IL28481,Oregon,M,Bachelor,611275.0,63243,77,1/0/00,Personal Auto,Four-Door Car,364
255,255,255,GY55092,Nevada,M,High School or Below,477294.0,20993,133,1/0/00,Personal Auto,SUV,638
256,256,256,UF33451,Oregon,F,Bachelor,1097909.0,94827,135,1/0/00,Personal Auto,SUV,354
257,257,257,CF15558,California,F,Master,500426.0,39161,63,1/1/00,Personal Auto,Two-Door Car,283
258,258,258,JM62924,Washington,M,Bachelor,1322304.0,37534,84,1/2/00,Personal Auto,Four-Door Car,403
